% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
100.00  843.098229   421549114         2 _ZNSt6thread4joinEv
  0.00    0.001238         112        11 _ZdlPvm
  0.00    0.000901         450         2 _ZNSt6thread15_M_start_threadESt10unique_ptrINS_6_StateESt14default_deleteIS1_EEPFvvE
  0.00    0.000704          58        12 _Znwm
  0.00    0.000371          92         4 strlen
  0.00    0.000340          68         5 memcpy
  0.00    0.000292          97         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE10_M_disposeEv
  0.00    0.000142          71         2 __errno_location
  0.00    0.000122         122         1 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
  0.00    0.000114          57         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm
  0.00    0.000072          72         1 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  0.00    0.000068          68         1 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  0.00    0.000058          58         1 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
------ ----------- ----------- --------- --------------------
100.00  843.102651                    47 total
