% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
100.00  900.679645   450339822         2 _ZNSt6thread4joinEv
  0.00    0.006085         507        12 _Znwm
  0.00    0.003405        1702         2 _ZNSt6thread15_M_start_threadESt10unique_ptrINS_6_StateESt14default_deleteIS1_EEPFvvE
  0.00    0.003389         308        11 _ZdlPvm
  0.00    0.002754         550         5 memcpy
  0.00    0.001252         313         4 strlen
  0.00    0.000796         398         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm
  0.00    0.000784         392         2 __errno_location
  0.00    0.000666         666         1 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  0.00    0.000526         175         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE10_M_disposeEv
  0.00    0.000431         431         1 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  0.00    0.000275         275         1 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  0.00    0.000063          63         1 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
------ ----------- ----------- --------- --------------------
100.00  900.700071                    47 total
