top - 17:31:35 up 3 min,  2 users,  load average: 1,31, 0,84, 0,35
Tasks: 461 total,  15 running, 440 sleeping,   6 stopped,   0 zombie
%Cpu(s): 44,8 us, 52,7 sy,  0,4 ni,  0,4 id,  0,0 wa,  1,2 hi,  0,4 si,  0,0 st 
MiB Mem :  15337,5 total,   7361,1 free,   5598,6 used,   2944,9 buff/cache     
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   9738,9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4822 anton     20   0  153748   3664   3536 S  64,3   0,0   0:00.09 combined
   4826 anton     20   0  153748   3652   3396 S  64,3   0,0   0:00.09 combined
   4831 anton     20   0  153748   3596   3468 S  64,3   0,0   0:00.09 combined
   4840 anton     20   0  153748   3596   3468 S  64,3   0,0   0:00.09 combined
   4730 anton     20   0    4756   2660   2276 R  57,1   0,0   0:00.16 ltrace
   4756 anton     20   0    4756   2548   2164 R  57,1   0,0   0:00.13 ltrace
   4819 anton     20   0  153748   3556   3428 S  57,1   0,0   0:00.08 combined
   4820 anton     20   0  153748   3672   3544 S  57,1   0,0   0:00.08 combined
   4823 anton     20   0  153748   3916   3660 S  57,1   0,0   0:00.08 combined
   4825 anton     20   0  153748   3616   3488 S  57,1   0,0   0:00.09 combined
   4837 anton     20   0  153748   3624   3368 S  57,1   0,0   0:00.08 combined
   4838 anton     20   0  153748   3616   3488 S  57,1   0,0   0:00.09 combined
   3813 anton     20   0 1138,7g 306488 104920 S  50,0   2,0   0:30.01 code
   4703 anton     20   0    4756   2448   2192 R  50,0   0,0   0:00.15 ltrace
   4712 anton     20   0    4756   2704   2320 R  50,0   0,0   0:00.09 ltrace
   4737 anton     20   0    4756   2464   2080 R  50,0   0,0   0:00.13 ltrace
   4699 anton     20   0    4756   2708   2196 R  42,9   0,0   0:00.15 ltrace
   4708 anton     20   0    4756   2780   2268 R  42,9   0,0   0:00.10 ltrace
   4738 anton     20   0    4756   2796   2412 R  42,9   0,0   0:00.08 ltrace
   4745 anton     20   0    4756   2800   2288 R  42,9   0,0   0:00.11 ltrace
   4784 anton     20   0  153748   3864   3608 S  35,7   0,0   0:00.09 combined
   4675 anton     20   0    9656   6652   4732 R  28,6   0,0   0:00.06 top
   4720 anton     20   0    4756   2896   2384 R  28,6   0,0   0:00.06 ltrace
   4792 anton     20   0  153748   3560   3432 S  28,6   0,0   0:00.09 combined
   3758 anton     20   0   32,9g 170756 119648 S  21,4   1,1   0:06.10 code
   4769 anton     20   0  153748   3452   3324 S  21,4   0,0   0:00.09 combined
   4770 anton     20   0  153748   3428   3300 S  21,4   0,0   0:00.09 combined
   4773 anton     20   0  153748   3596   3468 S  21,4   0,0   0:00.09 combined
   4780 anton     20   0  153748   3988   3732 S  21,4   0,0   0:00.09 combined
   4782 anton     20   0  153748   3412   3412 S  21,4   0,0   0:00.09 combined
   1197 anton     -2   0 3544532 367476 266548 S  14,3   2,3   0:16.30 kwin_wa+
   4749 anton     20   0  153748   3364   3236 R  14,3   0,0   0:00.03 combined
   4750 anton     20   0  153748   3356   3228 t  14,3   0,0   0:00.03 combined
   4771 anton     20   0  153748   3540   3412 S  14,3   0,0   0:00.09 combined
   4781 anton     20   0  153748   3556   3428 R  14,3   0,0   0:00.02 combined
   4786 anton     20   0  153748   3356   3228 t  14,3   0,0   0:00.02 combined
   4791 anton     20   0  153748   3740   3484 S  14,3   0,0   0:00.08 combined
   4795 anton     20   0  153748   3608   3480 S  14,3   0,0   0:00.09 combined
   4798 anton     20   0  153748   3516   3388 t  14,3   0,0   0:00.02 combined
   3848 anton     20   0 1132,1g 153180  87788 S   7,1   1,0   0:04.96 code
   3850 anton     20   0 1132,1g 106992  84948 S   7,1   0,7   0:00.70 code
   4751 anton     20   0  153748   3532   3404 t   7,1   0,0   0:00.01 combined
   4779 anton     20   0  153748   3472   3344 t   7,1   0,0   0:00.02 combined
   4785 anton     20   0  153748   3604   3476 R   7,1   0,0   0:00.02 combined
   4787 anton     20   0  153748   3412   3284 R   7,1   0,0   0:00.01 combined
   4793 anton     20   0  153748   3232   3232 t   7,1   0,0   0:00.02 combined
      1 root      20   0   21208  12484   9288 S   0,0   0,1   0:01.71 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0,0   0,0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      8 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
      9 root      20   0       0      0      0 I   0,0   0,0   0:00.10 kworker+
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     11 root      20   0       0      0      0 I   0,0   0,0   0:00.70 kworker+
     12 root      20   0       0      0      0 I   0,0   0,0   0:00.10 kworker+
     13 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.02 ksoftir+
     18 root      -2   0       0      0      0 I   0,0   0,0   0:00.10 rcu_pre+
     19 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcub/0
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_exp+
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_exp+
     22 root      rt   0       0      0      0 S   0,0   0,0   0:00.04 migrati+
     23 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     25 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     26 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     27 root      rt   0       0      0      0 S   0,0   0,0   0:00.26 migrati+
     28 root      20   0       0      0      0 S   0,0   0,0   0:00.01 ksoftir+
     29 root      20   0       0      0      0 I   0,0   0,0   0:00.05 kworker+
     30 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/4
     32 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     33 root      rt   0       0      0      0 S   0,0   0,0   0:00.27 migrati+
     34 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
     35 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
     36 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     37 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/6
     38 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     39 root      rt   0       0      0      0 S   0,0   0,0   0:00.30 migrati+
     40 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
     41 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
     42 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     43 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/8
     44 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     45 root      rt   0       0      0      0 S   0,0   0,0   0:00.28 migrati+
     46 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
     47 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
     48 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     49 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/10
     50 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     51 root      rt   0       0      0      0 S   0,0   0,0   0:00.31 migrati+
     52 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
     53 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
     54 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     55 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/12
     56 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     57 root      rt   0       0      0      0 S   0,0   0,0   0:00.31 migrati+
     58 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
     59 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
     60 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     61 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/14
     62 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     63 root      rt   0       0      0      0 S   0,0   0,0   0:00.32 migrati+
     64 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
     65 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
     66 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     67 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     68 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     69 root      rt   0       0      0      0 S   0,0   0,0   0:00.26 migrati+
     70 root      20   0       0      0      0 S   0,0   0,0   0:00.01 ksoftir+
     71 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
     72 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     73 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     74 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     75 root      rt   0       0      0      0 S   0,0   0,0   0:00.26 migrati+
     76 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
     77 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
     78 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     79 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/5
     80 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     81 root      rt   0       0      0      0 S   0,0   0,0   0:00.26 migrati+
     82 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
     83 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
     84 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     85 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/7
     86 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     87 root      rt   0       0      0      0 S   0,0   0,0   0:00.27 migrati+
     88 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
     89 root      20   0       0      0      0 I   0,0   0,0   0:00.04 kworker+
     90 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     91 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/9
     92 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     93 root      rt   0       0      0      0 S   0,0   0,0   0:00.27 migrati+
     94 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
     95 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
     96 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     97 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/11
     98 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     99 root      rt   0       0      0      0 S   0,0   0,0   0:00.28 migrati+
    100 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
