top - 14:05:30 up  2:54,  2 users,  load average: 10,58, 9,92, 6,29
Tasks: 447 total,  16 running, 424 sleeping,   7 stopped,   0 zombie
%Cpu(s): 57,4 us, 41,8 sy,  0,3 ni,  0,3 id,  0,0 wa,  0,3 hi,  0,0 si,  0,0 st 
MiB Mem :  15337,5 total,    453,6 free,   9179,9 used,   6532,0 buff/cache     
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6157,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  80614 anton     20   0  153784   3956   3700 S 116,0   0,0   0:00.53 combined
  80646 anton     20   0  153784   4108   3724 S 100,0   0,0   0:00.44 combined
  80608 anton     20   0  153784   4024   3640 S  88,0   0,0   0:00.36 combined
  80610 anton     20   0  153784   4028   3772 S  88,0   0,0   0:00.48 combined
  80689 anton     20   0  153784   4148   3764 S  88,0   0,0   0:00.30 combined
  80630 anton     20   0  153784   4156   3772 S  80,0   0,0   0:00.44 combined
  80687 anton     20   0  153784   4128   3744 S  72,0   0,0   0:00.34 combined
  80547 anton     20   0    4756   2828   2444 R  56,0   0,0   0:00.17 ltrace
  80649 anton     20   0  153784   3884   3756 S  56,0   0,0   0:00.17 combined
  80618 anton     20   0  153784   3900   3772 S  44,0   0,0   0:00.37 combined
  80620 anton     20   0  153784   4028   3772 S  44,0   0,0   0:00.25 combined
  80672 anton     20   0  153784   4084   3700 S  40,0   0,0   0:00.15 combined
  80685 anton     20   0  153784   3748   3620 S  36,0   0,0   0:00.18 combined
  80641 anton     20   0  153784   4028   3772 S  32,0   0,0   0:00.16 combined
  80644 anton     20   0  153784   4020   3764 S  32,0   0,0   0:00.13 combined
  80673 anton     20   0  153784   3948   3692 S  32,0   0,0   0:00.13 combined
  80682 anton     20   0  153784   3976   3720 S  32,0   0,0   0:00.15 combined
  17263 anton     20   0 1138,7g 488844 129496 R  28,0   3,1   5:15.10 code
  80634 anton     20   0  153784   3980   3724 S  28,0   0,0   0:00.14 combined
  80552 anton     20   0    4756   2884   2372 R  24,0   0,0   0:00.11 ltrace
  80588 anton     20   0    4756   2868   2356 R  24,0   0,0   0:00.16 ltrace
  80691 anton     20   0  153784   4020   3764 S  24,0   0,0   0:00.08 combined
  29228 anton     20   0   11,9g 820144 447356 R  20,0   5,2   5:37.85 firefox
  80542 anton     20   0    4756   2724   2340 S  20,0   0,0   0:00.09 ltrace
  80692 anton     20   0  153784   4016   3760 S  20,0   0,0   0:00.09 combined
  80577 anton     20   0    4756   2940   2428 R  16,0   0,0   0:00.09 ltrace
  80611 anton     20   0    4756   2904   2520 R  16,0   0,0   0:00.07 ltrace
  80684 anton     20   0  153784   4156   3772 S  16,0   0,0   0:00.07 combined
  80561 anton     20   0    4756   3048   2536 R  12,0   0,0   0:00.08 ltrace
  80565 anton     20   0    4756   2844   2332 R  12,0   0,0   0:00.08 ltrace
  80625 anton     20   0    4756   2896   2384 R  12,0   0,0   0:00.06 ltrace
  17206 anton     20   0   33,0g 270668 176500 S   8,0   1,7   1:24.23 code
  26328 anton     20   0  254136 204920  21560 S   8,0   1,3   1:08.36 cpptools
  80522 anton     20   0    9652   6856   4808 R   8,0   0,0   0:00.02 top
  80581 anton     20   0    4756   2852   2468 R   8,0   0,0   0:00.06 ltrace
  80586 anton     20   0  153784   3584   3584 t   8,0   0,0   0:00.03 combined
   1182 anton     -2   0 3406820 589684 489696 S   4,0   3,8   4:26.56 kwin_wa+
  29340 anton     20   0   19,2g 428552 137696 S   4,0   2,7   3:39.21 WebExte+
  43844 anton     20   0 3235432 609628 195140 R   4,0   3,9   0:26.19 Isolate+
  69419 root      20   0       0      0      0 I   4,0   0,0   0:01.89 kworker+
  79114 root       0 -20       0      0      0 I   4,0   0,0   0:00.01 kworker+
  80599 anton     20   0  153784   3940   3684 S   4,0   0,0   0:00.02 combined
  80602 anton     20   0  153784   3720   3592 t   4,0   0,0   0:00.01 combined
  80606 anton     20   0  153784   3956   3700 R   4,0   0,0   0:00.02 combined
      1 root      20   0   21720  13140   9032 S   0,0   0,1   0:05.68 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.02 kthreadd
      3 root      20   0       0      0      0 S   0,0   0,0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.22 ksoftir+
     18 root      -2   0       0      0      0 I   0,0   0,0   0:05.70 rcu_pre+
     19 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcub/0
