top - 13:19:19 up  2:08,  2 users,  load average: 0,97, 0,95, 1,00
Tasks: 344 total,   2 running, 342 sleeping,   0 stopped,   0 zombie
%Cpu(s):  6,9 us,  0,0 sy,  0,0 ni, 93,1 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :  15337,5 total,    776,4 free,   8593,6 used,   6775,4 buff/cache     
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6743,9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  62692 anton     20   0    6296   3172   3044 R  90,9   0,0   0:00.21 path
  43844 anton     20   0 2467504  68500  54676 S   9,1   0,4   0:00.77 Web Con+
  62693 anton     20   0    9652   6848   4800 R   9,1   0,0   0:00.01 top
      1 root      20   0   21720  12628   9032 S   0,0   0,1   0:05.11 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.01 kthreadd
      3 root      20   0       0      0      0 S   0,0   0,0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.19 ksoftir+
     18 root      -2   0       0      0      0 I   0,0   0,0   0:04.00 rcu_pre+
     19 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcub/0
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_exp+
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.02 rcu_exp+
     22 root      rt   0       0      0      0 S   0,0   0,0   0:00.83 migrati+
     23 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     25 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     26 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     27 root      rt   0       0      0      0 S   0,0   0,0   0:00.70 migrati+
     28 root      20   0       0      0      0 S   0,0   0,0   0:00.11 ksoftir+
     30 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/4
     32 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     33 root      rt   0       0      0      0 S   0,0   0,0   0:10.26 migrati+
     34 root      20   0       0      0      0 S   0,0   0,0   0:00.06 ksoftir+
     36 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     37 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/6
     38 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     39 root      rt   0       0      0      0 S   0,0   0,0   0:02.19 migrati+
     40 root      20   0       0      0      0 S   0,0   0,0   0:00.30 ksoftir+
     42 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     43 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/8
     44 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     45 root      rt   0       0      0      0 S   0,0   0,0   0:02.42 migrati+
     46 root      20   0       0      0      0 S   0,0   0,0   0:00.03 ksoftir+
     48 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     49 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/10
     50 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     51 root      rt   0       0      0      0 S   0,0   0,0   0:04.00 migrati+
     52 root      20   0       0      0      0 S   0,0   0,0   0:00.02 ksoftir+
     54 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     55 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/12
     56 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     57 root      rt   0       0      0      0 S   0,0   0,0   0:01.82 migrati+
     58 root      20   0       0      0      0 S   0,0   0,0   0:00.01 ksoftir+
     60 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     61 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/14
